indice_tiempo,superficie_sembrada_avena_ha,superficie_cosechada_avena_ha,produccion_avena_t,rendimiento_avena_kgxha
1923,1083760,859596,1104052,1284
1924,1066575,690902,775611,1123
1925,1289990,905407,1166682,1289
1926,1283300,898068,961998,1071
1927,1278900,705430,759000,1076
1928,1487000,887429,945974,1066
1929,1510558,872415,988952,1134
1930,1593200,907910,885175,975
1931,1404210,825830,1059314,1283
1932,1453310,881610,994300,1128
1933,1443300,668305,823000,1231
1934,1428000,855500,900685,1053
1935,1195000,552495,520586,942
1936,1619083,914879,803702.3,878
1937,1608216,844682,757231,896
1938,1392072,803190,757852,944
1939,1394639,880082,802600,912
1940,1595600,570000,539499.5,946
1941,1424000,470000,450000,957
1942,1935450,626096,580000,926
1943,2147200,1067030,924863,867
1944,2011000,1021400,1098700,1076
1945,1707635,740551,793572,1072
1946,305643,107014,54062,505
1947,1322700,681720,824300,1209
1948,1393700,642050,733200,1142
1949,1229600,515500,540100,1048
1950,1310600,631300,673000,1066
1951,1188700,417900,438000,1048
1952,1702000,963000,1269300,1318
1953,1500000,728650,991200,1360
1954,1375700,694900,890000,1281
1955,1449600,654200,723000,1105
1956,1887700,956000,1140000,1192
1957,1918200,876100,994996,1136
1958,1795601,795700,850000,1068
1959,308500,93700,93300,996
1960,1589000,767500,843000,1098
1961,1409200,596700,700000,1173
1962,1140600,411800,487200,1183
1963,1381600,693200,906000,1307
1964,1133600,569500,804500,1413
1965,1117000,420500,480000,1141
1966,1143400,412400,540000,1309
1967,987940,418000,560425,1341
1968,1121050,358220,386746,1080
1969,1128280,327400,425000,1298
1970,1025190,299670,359960,1201
1971,1097440,357000,475000,1331
1972,1221770,398700,566000,1420
1973,1153950,394600,561000,1422
1974,1200150,282200,327000,1159
1975,1341100,337750,432900,1282
1976,1470850,383000,530000,1384
1977,1479870,430000,570000,1326
1978,1544660,500000,676000,1352
1979,1679700,410000,522000,1273
1980,1717670,349600,433000,1239
1981,1614670,298470,338970,1136
1982,1855670,407970,636970,1561
1983,1799670,409970,592970,1446
1984,1773700,434300,717000,1651
1985,1738650,333000,400000,1201
1986,1529700,312000,495000,1587
1987,1959720,476423,718000,1507
1988,1830000,355590,450000,1266
1989,2098450,443910,666600,1502
1990,1015000,201200,275000,1367
1991,1330000,131000,210000,1603
1992,2006100,371800,600200,1614
1993,1971080,303500,436540,1438
1994,1971695,259070,357286,1379
1995,1847775,213750,260280,1218
1996,1870180,246480,309500,1256
1997,1789200,289500,512100,1769
1998,1822240,240300,383395,1595
1999,1711460,337460,554708,1644
2000,1663685,335534,644150,1920
2001,1516115,362545,644760,1778
2002,1368400,292315,487510,1668
2003,1344030,220785,331993,1504
2004,1275253,291307,536091,1840
2005,1022680,148225,226910,1531
2006,1067180,138025,242960,1760
2007,1112910,224250,472420,2107
2008,1055230,211805,290525,1372
2009,916763,139368,181990,1306
2010,1133300,284570,660200,2320
2011,1056680,196135,414990,2116
2012,1223770,260240,495940,1906
2013,1464335,226109,444820,1967
2014,1344380,244528,524716,2146
2015,1329030,239640,553435,2309
2016,1353074,321054,784981,2445
2017,1150896,218399,491713,2251
2018,1364520,238166,571630,2400
2019,1484966,322328,600105,1862
2020,1405535,241925,506718,2095
