anio,superficie_sembrada_girasol_ha,superficie_cosechada_girasol_ha,produccion_girasol_t,rendimiento_girasol_kgxha
1969,1472300,1347400,1140000,846
1970,1614200,1313100,830000,632
1971,1532700,1286500,828000,644
1972,1652400,1337900,880000,658
1973,1341900,1189800,970000,815
1974,1196000,1005000,732000,728
1975,1411100,1258400,1085000,862
1976,1460000,1227000,900000,733
1977,2200000,2000000,1600000,800
1978,1766000,1557000,1430000,918
1979,2000000,1855000,1650000,889
1980,1390000,1280000,1260000,984
1981,1733000,1673000,1980000,1184
1982,1930000,1902000,2400000,1262
1983,2131000,1989000,2200000,1106
1984,2380000,2360000,3400000,1441
1985,3140000,3046000,4100000,1346
1986,1890500,1735100,2200000,1268
1987,2117000,2032000,2915000,1435
1988,2313000,2215975,3200000,1444
1989,2800000,2688705,3900000,1451
1990,2372350,2301150,4033400,1753
1991,2724375,2602175,3676900,1413
1992,2187100,2059750,2955900,1435
1993,2205800,2152550,4094900,1902
1994,3010440,2954500,5799540,1963
1995,3410600,3235630,5557800,1718
1996,3119750,3007470,5450000,1812
1997,3511400,3331400,5599880,1681
1998,4243800,4067870,7125140,1752
1999,3587000,3477120,6069655,1746
2000,1976120,1903925,3179043,1670
2001,2050365,2014915,3843579,1908
2002,2378000,2324510,3714000,1598
2003,1847963,1835238,3176472,1731
2004,1966599,1922909,3662108,1904
2005,2231714,2167074,3759737,1735
2006,2381388,2351348,3497733,1488
2007,2612646,2569136,4650365,1810
2008,1967420,1820030,2483438,1365
2009,1545295,1491317,2223937,1491
2010,1758545,1743040,3671748,2107
2011,1851220,1823412,3340520,1832
2012,1657071,1620081,3104420,1916
2013,1313195,1261640,2063410,1635
2014,1464855,1439915,3158290,2193
2015,1435148,1413963,3000367,2122
2016,1861595,1819045,3546707,1950
2017,1704296,1678031,3537545,2108
2018,1941002,1875938,3825750,2039
2019,1551764,1528569,3232649,2115
